,entity_type,n_document,n_sentence,n_token,n_MISC,n_ALL,F1_mean,F1_std
665,Atom114619225,20,1965,57179,3031,3031,0.7193400000000001,0.05980276247799929
666,Therapy100661091,7,605,16274,694,694,0.5770600000000001,0.06498961763235722
667,Pyridine114692510,6,515,10243,636,636,0.67752,0.031175336405562686
668,Fraud100753685,15,1476,43489,1541,1541,0.3837,0.14945012545996741
669,Purine114706749,5,435,11299,598,598,0.7383000000000001,0.08488573496177082
670,PrimeNumber113594302,8,779,23097,2191,2191,0.8868600000000001,0.042433411364159755
671,Special107166851,24,2304,67153,2402,2402,0.66524,0.142665981929821
672,Meme105985126,27,2622,78514,2848,2848,0.38168,0.12419594840412468
673,Good105159725,9,827,24005,865,865,0.39924,0.1948540335738524
674,Khan110230097,14,1305,33754,1812,1812,0.75912,0.05754634306365609
675,Ammonite109195958,6,581,6425,677,677,0.78248,0.04356192833197355
676,SportsEquipment104285146,10,968,26372,1660,1660,0.81326,0.04785555767097484
677,Field108659446,2,143,3053,166,166,0.7601199999999999,0.03919971428467305
678,Profanity107128527,7,603,19130,643,643,0.6260399999999999,0.14349034253217183
679,Position105079866,3,215,5351,410,410,0.82886,0.045581118898070094
680,Cyst114202996,3,279,4614,306,306,0.6853800000000001,0.10425761171252677
681,Particle109386422,12,1119,30054,1293,1293,0.56204,0.15151874603493787
682,Epistemologist110062385,28,2767,87513,3510,3510,0.8553,0.07783199856100317
683,Astrologer109817816,33,3228,110008,3827,3827,0.7412400000000001,0.07273803956665316
684,Passerine101524359,10,998,17495,1266,1266,0.8615999999999999,0.03186383529959944
685,Drawbridge103233744,4,306,8603,360,360,0.7897799999999999,0.08998062902647436
686,End115266911,16,1519,44827,1991,1991,0.8431999999999998,0.07510986619612632
687,Disease114070360,248,24779,595953,34708,34708,0.76404,0.024795693174420413
688,MetallicElement114625458,10,994,27121,1123,1123,0.5771,0.17194072234348673
689,Pogrom100421210,8,744,22023,818,818,0.68814,0.18343769078354644
690,Cooperation101202904,3,296,8312,326,326,0.6265799999999999,0.07220380599386712
691,Believer109848489,48,4731,144586,6140,6140,0.77118,0.019433105773396086
692,TransitLine104472098,8,754,18793,2396,2396,0.9135,0.02196014571900652
693,Oncologist110377633,3,239,6238,248,248,0.5929599999999999,0.06778529634072569
694,Vibist110749928,10,981,24950,1039,1039,0.6530600000000001,0.14127181743008757
695,LanguageSchool108282950,4,364,10229,388,388,0.6701599999999999,0.1901995751835424
696,Phobia114381416,5,457,11674,508,508,0.65392,0.02174041397949913
697,Position106208751,8,719,18383,735,735,0.32952,0.2015706268284147
698,UrbanLegend106682952,13,1229,33435,1294,1294,0.4335,0.13189852159899293
699,Band102784218,4,393,10062,451,451,0.49408,0.08094732608307702
700,Lemma106751833,3,279,5690,293,293,0.7419600000000001,0.13851620266236006
701,SulfaDrug104352070,2,183,3963,237,237,0.603,0.09643443368423957
702,DataStructure105728493,17,1665,44186,2063,2063,0.5603200000000002,0.03065207333933544
703,Glycoprotein114888310,9,841,21791,1178,1178,0.71774,0.07583768456381036
704,RanchHand110506544,8,722,19192,793,793,0.6159,0.23011554488995306
