,entity_type,n_document,n_sentence,n_token,n_MISC,n_ALL
834,StateCapital108695539,374,37373,1029345,41527,41527
1034,NationalCapital108691669,289,28838,767734,29953,29953
1138,Prefecture108626947,235,23468,597788,29321,29321
