,entity_type,n_document,n_sentence,n_token,n_entity,F1_mean,F1_std,FN_mean,FP_mean,TP_mean,P_mean,R_mean
1137,Marsh109347779,4,344,9396,362,0.5753,0.08953330106725656,39.2,8.0,33.2,0.81914,0.45872
1138,Prefecture108626947,235,23468,597788,29321,0.9097,0.025859853054493568,709.6,319.0,5154.6,0.94176,0.8803799999999999
1139,Swine102395003,3,294,7684,326,0.53144,0.10775465836797961,38.4,9.0,26.8,0.76716,0.41178
1140,Slope109437454,14,1326,32933,1664,0.73506,0.11815131992491663,121.4,19.0,211.4,0.91066,0.627
1141,InvestmentBanker110215953,5,490,14252,494,0.61488,0.06879317989452154,51.6,6.6,47.2,0.8749600000000001,0.47724
1142,Map103720163,13,1259,30867,1370,0.55852,0.12601459280575408,149.2,43.0,124.8,0.73828,0.45614
1143,Declaration106725877,18,1768,51294,1839,0.5639800000000001,0.10702462146627757,194.8,65.4,173.0,0.718,0.47212
1144,Taste105749619,11,1043,30355,1075,0.23866,0.17899928044548113,180.6,10.6,34.6,0.78198,0.16088
1145,DescriptiveLinguistics106181584,13,1267,37418,1301,0.8463799999999999,0.11235537192319732,48.8,22.0,211.4,0.9032599999999998,0.81376
1146,Aesthetic105968971,20,1990,56310,2067,0.3157,0.15425377791159608,318.6,50.6,94.8,0.63758,0.22778
1147,Finale107039478,4,301,9991,331,0.48183999999999994,0.07845685693424125,41.8,9.0,24.4,0.74438,0.36605999999999994
1148,WordProcessor106572654,5,491,12423,582,0.5791999999999999,0.13701887461222267,60.8,13.2,55.6,0.8086800000000001,0.47318
1149,Acetylene114600742,3,229,4630,338,0.74278,0.03525140564573278,24.4,5.0,43.2,0.9033599999999999,0.63526
1150,Bog109225943,3,207,5065,216,0.44090000000000007,0.1871445965022768,29.2,3.8,14.0,0.75296,0.32628
1151,Shirt104197391,7,648,16781,767,0.54024,0.13888213132005142,86.8,15.2,66.6,0.81762,0.4227
1152,Car102959942,7,693,17306,846,0.53872,0.1153231529225593,97.8,18.0,71.4,0.78624,0.4182
1153,Appetizer107581346,5,497,11716,557,0.4085,0.11285753851648546,80.4,5.6,31.0,0.8360200000000001,0.27698
1154,Report106681551,13,1258,34476,1324,0.42488000000000004,0.0959551645301075,189.0,11.4,75.8,0.8652200000000001,0.28646
1155,Chord113874927,5,494,16307,646,0.5489200000000001,0.1381249926696831,66.4,30.0,62.8,0.6554800000000001,0.47684
1156,ClockTower103047052,9,869,23533,909,0.527,0.13485522607596634,106.0,21.4,75.8,0.77072,0.41486
1157,Beltway102828648,12,1172,31051,1316,0.63294,0.0448812923165098,123.8,36.4,139.6,0.8019999999999999,0.53026
1158,Rugby100470966,4,302,10554,449,0.7832800000000001,0.08012783286723783,23.2,10.8,66.6,0.85394,0.7261200000000001
1159,Crisis107417644,17,1665,43232,1832,0.50204,0.07613342498535056,231.4,31.8,135.0,0.8055,0.3684
1160,Obelisk103837869,3,259,6394,271,0.56626,0.16578495227251477,28.8,7.2,25.4,0.78434,0.46826000000000007
1161,Flood111454591,11,1070,28987,1095,0.81142,0.12024680286810122,52.2,22.6,166.8,0.8749800000000001,0.76364
1162,Failure100066636,4,395,10183,421,0.39431999999999995,0.08573166042950528,62.4,3.8,21.8,0.8465399999999998,0.25942
1163,Barrio108676349,3,259,8171,1062,0.9535399999999999,0.011138689330437417,12.2,7.0,200.2,0.96526,0.9423600000000001
1164,Mentor110309496,6,550,14138,766,0.70396,0.04157656070431993,57.8,20.8,95.4,0.82484,0.6185999999999999
1165,Wright110793570,8,723,19316,774,0.655,0.08877109890048673,66.4,22.4,88.4,0.8025800000000001,0.56846
1166,NewTown108626522,19,1881,52180,2165,0.7754,0.08703353376716355,137.2,27.4,295.8,0.9141600000000001,0.68328
1167,Correction100258854,20,1996,70481,2522,0.77784,0.039462620288065,142.2,65.4,362.2,0.84738,0.71968
1168,Lieutenancy100594580,4,334,6116,374,0.9111799999999999,0.04212169987073171,8.4,4.2,66.4,0.93894,0.8852400000000001
1169,WordGame100501870,2,197,4366,218,0.23274,0.10842521109041016,37.4,1.4,6.2,0.8,0.14108
1170,Meal107573696,7,608,17418,657,0.33698,0.22420729158526492,96.6,13.6,34.8,0.66232,0.26396000000000003
1171,EpicPoem106379721,26,2554,75586,2955,0.6446,0.12247731218474711,281.0,38.6,310.0,0.88802,0.52236
1172,AirForce108196024,79,7851,205521,8696,0.8816200000000001,0.022884702313991305,263.6,132.2,1475.6,0.91774,0.8491
1173,ToneLanguage106904943,41,4078,120750,4718,0.8095399999999999,0.04938467778572622,243.6,87.8,700.0,0.8922000000000001,0.7439399999999999
1174,Brachiopod102315487,2,178,1912,199,0.59148,0.20155482033431998,17.4,10.4,22.4,0.67982,0.56008
1175,TapDancer110691148,15,1444,43207,1827,0.89448,0.033216405585192385,59.8,10.2,305.6,0.9661,0.8338000000000001
1176,SchoolShip104146862,3,250,5568,277,0.65794,0.05363508553176735,25.8,4.6,29.6,0.87008,0.53434
1177,Skydiver110608188,9,821,26157,840,0.74168,0.2590826308342572,56.0,5.0,112.0,0.9657,0.67104
1178,Fly102190166,7,628,13027,757,0.6630199999999999,0.08237556433797585,66.6,19.0,84.8,0.818,0.56292
1179,Tablet104381302,4,315,9131,370,0.6965999999999999,0.09326999517529741,32.2,4.2,41.8,0.91264,0.5708799999999999
1180,Legend106371413,32,3106,92100,3523,0.50576,0.09154147912285446,444.8,48.0,259.8,0.8403600000000001,0.36714
1181,Patient110405694,36,3512,114542,3857,0.7463799999999999,0.08322885076702669,292.8,22.8,478.6,0.9540599999999999,0.62046
1182,FinancialAnalyst109790865,5,412,11771,520,0.7486200000000001,0.08138025313305433,37.0,7.0,67.0,0.90442,0.648
1183,CommercialEnterprise101094725,14,1309,37670,1475,0.42576,0.07497345130111058,206.4,30.2,88.8,0.74466,0.30036
1184,Attainment100062806,12,1170,33518,1206,0.8393,0.17438860054487507,51.0,15.2,190.2,0.9128399999999999,0.79822
1185,Archduke109804658,26,2520,74287,2907,0.7703,0.031121825139281262,144.6,116.6,436.8,0.79018,0.75174
1186,Dentist110004282,11,1008,24566,1051,0.46871999999999997,0.055446853833197786,138.0,26.8,72.2,0.7321799999999999,0.346
1187,Pump104021798,6,518,14696,575,0.53096,0.02462588881644682,64.8,23.4,50.2,0.6869200000000001,0.43600000000000005
1188,IndependentAgency108338847,57,5624,178055,5827,0.8243199999999999,0.03741055466041635,288.4,82.6,877.0,0.9141,0.75282
1189,ElectricalConduction111512650,4,387,11101,394,0.42092,0.221016346906739,54.0,5.2,24.8,0.7803800000000001,0.31602
1190,Shoe104199027,5,498,11547,546,0.55584,0.10323533503602339,62.6,9.4,46.6,0.8276,0.42476
1191,LegalProfession108112402,16,1556,43503,1606,0.43406,0.13295037570462148,215.4,39.0,105.8,0.7293000000000001,0.32799999999999996
1192,MetabolicDisorder114084502,15,1435,34608,1616,0.7525000000000001,0.1271756737745077,107.8,30.6,215.4,0.8691800000000001,0.6746800000000001
1193,CleansingAgent103040587,3,247,6415,283,0.38662,0.22029457006472042,39.8,3.2,16.8,0.8423,0.28062
1194,Plaza108619795,6,536,14461,586,0.7975800000000001,0.08072846833676457,31.8,9.8,85.4,0.89718,0.72638
1195,Ecologist110043163,15,1487,38480,1596,0.7012,0.05400577746871163,129.0,31.6,190.2,0.8569599999999999,0.59616
1196,Disapproval106709533,7,657,18428,689,0.5359200000000001,0.23353673287086985,76.0,13.4,61.8,0.7965000000000001,0.45036
1197,Burglar109880741,7,609,17334,624,0.60226,0.2539535201567405,62.8,5.0,62.0,0.89954,0.49817999999999996
1198,Ghost105898171,24,2397,69300,2594,0.631,0.12446535260866776,260.2,29.2,258.6,0.88514,0.49688
1199,Moneran101342269,3,237,5828,287,0.76488,0.09042328018823473,18.4,3.6,39.0,0.9141200000000002,0.66674
