,entity_type,n_sentence,F1_Stanford,Neuro_n_epochs,Neuro_duration,Neuro_F1_on_train_set,Neuro_F1_on_valid_set
98,Antiviral102725367,234,0.48234,15,121,66.36,49.06
99,Vespid102212602,235,0.925,27,160,96.74,91.09
100,Wasp102212062,235,0.925,15,91,93.33,87.85
101,Bull106726761,235,0.59826,32,276,89.6,73.47
102,Moneran101342269,237,0.76488,16,129,87.27,82.76
103,CarnivorousBat102141306,238,0.90232,36,269,96.79,93.83
104,Oncologist110377633,239,0.5929599999999999,10,86,78.43,72.57
105,Ranch104052442,240,0.6423,22,171,88.78,67.29
106,Nunnery103835853,243,0.69614,10,85,75.86,67.42
107,RailroadTunnel104048441,244,0.65886,19,161,87.19,63.83
108,Imidazole114916670,246,0.5758800000000001,15,118,75.5,52.25
109,Endocrinologist110056914,247,0.5192599999999999,13,112,81.82,74.75
110,RegularPayment113281275,247,0.61646,24,195,81.66,65.04
111,CleansingAgent103040587,247,0.38661999999999996,30,245,85.33,53.1
112,DerivedFunction106014730,248,0.53108,15,127,67.72,50.0
113,DesignerDrug103179489,249,0.65518,17,135,75.98,69.84
114,Pagoda103874965,249,0.74648,23,180,82.87,60.24
115,Fluorescein114987695,250,0.6099,13,108,72.4,36.54
116,AbsorptionIndicator114598383,250,0.6099,18,147,75.48,39.32
117,Indicator114917208,250,0.6099,26,209,81.08,42.74
118,Salad107806221,250,0.47331999999999996,19,157,78.18,71.67
119,SchoolShip104146862,250,0.65794,21,163,79.34,61.79
120,Copy103104594,252,0.3478600000000001,10,93,59.56,54.72
121,Seafood107776866,253,0.64898,19,147,80.86,80.54
122,Democrat110002031,253,0.7777999999999999,8,68,89.45,94.34
123,Test101006675,255,0.5950200000000001,29,237,86.74,66.67
124,Vodka107906111,255,0.48452,16,128,76.53,62.4
125,Elasmobranch101482071,256,0.5204,27,217,80.47,28.26
126,Shark101482330,256,0.5204,25,202,80.0,31.11
127,Salamander101629276,257,0.75936,32,257,90.0,81.54
128,Sulfide115063699,259,0.6864,15,121,76.28,74.29
129,Barrio108676349,259,0.95354,39,354,99.66,90.06
130,Column103074380,259,0.56626,13,109,74.41,63.04
131,Obelisk103837869,259,0.56626,17,140,81.17,63.92
132,Fastener110080337,260,0.35496,27,213,75.52,49.02
133,Maar109344724,261,0.5886600000000001,45,351,95.48,54.55
134,SimpleClosedCurve113868371,262,0.57092,30,242,88.0,54.55
135,ClosedCurve113868248,262,0.57092,19,156,81.51,53.45
136,Supernova109451237,264,0.55962,9,81,65.44,50.55
137,Tetrapod102156732,264,0.64896,37,309,91.85,76.44
138,Cabinetmaker109885866,266,0.69638,22,190,89.45,77.97
139,Vole102339376,267,0.78894,32,233,97.25,87.62
140,WoodRat102338901,267,0.78894,37,269,96.62,86.0
141,Suffragan110672540,268,0.82114,10,94,80.08,72.0
142,Dumpling107702193,268,0.5284399999999999,25,200,82.96,65.6
143,Hut103550153,269,0.76144,19,160,86.19,75.41
144,ChiefExecutiveOfficer109916348,269,0.44698,16,171,90.6,92.16
145,Sonnet106381372,269,0.9945,8,149,99.63,99.63
146,Booklet106413889,273,0.4055,20,195,84.03,51.02
147,SpreeKiller110581648,273,0.60168,27,239,92.79,77.59
148,Sabotage101244895,274,0.6745800000000001,15,126,73.87,67.35
149,HydroxyAcid114613922,276,0.5539999999999999,19,162,78.13,61.54
150,Convict109962966,276,0.71192,14,137,91.17,72.18
151,Dune109270735,277,0.52062,30,250,87.05,50.41
152,Protozoan101389507,277,0.59214,21,180,75.75,50.0
153,Herbicide114906850,277,0.6434199999999999,46,411,94.38,77.92
154,Lemma106751833,279,0.7419600000000001,13,108,87.0,71.29
155,Cyst114202996,279,0.6853800000000001,22,164,82.28,72.44
156,Sponge101906749,280,0.68238,18,150,72.73,74.68
157,Figure103335600,284,0.26371999999999995,30,270,81.94,46.32
158,Model103777283,284,0.26371999999999995,32,286,85.14,50.0
159,Lemur102496913,285,0.9028,17,126,93.46,94.86
160,Prospector110485298,286,0.7130400000000001,25,212,91.79,90.77
161,Dress103236735,287,0.2754800000000001,36,296,86.58,63.64
162,SoundFilm104261868,287,0.8046599999999999,31,241,97.64,83.33
163,Session107145508,288,0.7653399999999999,19,170,87.71,75.76
164,CreditUnion108234628,289,0.6562600000000001,15,134,80.9,69.33
165,Decade115204983,291,0.8167200000000001,14,110,81.14,76.3
166,Neurosurgeon110354754,292,0.5475800000000001,13,123,82.5,72.87
167,Builder115097209,294,0.4808,25,210,82.56,61.19
168,Swine102395003,294,0.5314399999999999,14,127,75.36,61.19
169,Hog102395406,294,0.5314399999999999,24,213,82.28,57.53
170,Reservoir113776854,295,0.5292399999999999,14,129,73.77,69.42
