,entity_type,N_fold0,N_fold1,N_fold2,N_fold3,N_fold4,N_avg,N_std
217,AromaticHydrocarbon114767996,0.7406999999999999,0.6448999999999999,0.6174000000000001,0.7273000000000001,0.42479999999999996,0.6310199999999999,0.1133175961622907
218,Acme113940456,0.7606,0.7020000000000001,0.5192,0.6463,0.7162000000000001,0.6688600000000001,0.08326179435971823
219,Degree113939892,0.731,0.6842,0.5133,0.6951,0.7323999999999999,0.6712,0.08123312132375562
220,Vaccine104517535,0.5714,0.5979,0.6781999999999999,0.6275,0.6092,0.6168399999999999,0.035666712772555835
221,Marsh109347779,0.8356,0.6723,0.6803,0.5,0.5303,0.6437,0.120409617556074
222,HoldingDevice103525827,0.5867,0.55,0.6197,0.7286,0.5468,0.6063600000000001,0.06667973005344278
223,Lookout103688943,0.68,0.7190000000000001,0.608,0.5401,0.5378000000000001,0.6169800000000001,0.07299349012069503
224,Connection113791389,0.6704000000000001,0.5593,0.5484,0.8025,0.5714,0.6304000000000001,0.09641433503374901
225,Pteridophyte111545524,0.8142,0.8340000000000001,0.7938,0.7358,0.7872,0.793,0.03297441432383601
226,Fanjet103321103,0.6879000000000001,0.703,0.6981999999999999,0.6831999999999999,0.7397,0.7024,0.019940812420761615
227,SignLanguage106875697,0.8695999999999999,0.8681,0.8218000000000001,0.763,0.8140999999999999,0.8273199999999999,0.03947887536392087
228,Pathology114204950,0.7333,0.6265,0.6713,0.563,0.6207,0.6429600000000001,0.05678822413141655
229,Inspector110208847,0.9067000000000001,0.9396,0.7805,0.687,0.6667000000000001,0.7961000000000001,0.11109918091507244
230,Inaction114010148,0.6061,0.6429,0.5033,0.6506000000000001,0.46509999999999996,0.5736,0.0755010993297449
231,BlackHole109223177,0.4065,0.386,0.6829000000000001,0.7898000000000001,0.6308,0.5791999999999999,0.1580633670399312
232,PrintingConcern108069627,0.42979999999999996,0.3,0.1778,0.5176,0.2727,0.33957999999999994,0.12003586797286883
233,LanguageSchool108282950,0.2742,0.7092,0.7226,0.8844,0.5935,0.63678,0.20359902160865115
234,Yacht104610013,0.6163000000000001,0.5375,0.5101,0.5402,0.5857,0.55796,0.03794119660738182
235,Encyclical106625062,0.8639,0.7245999999999999,0.8181999999999999,0.8715999999999999,0.8421,0.82408,0.05310244438818238
236,WaterCompany108186546,0.5781000000000001,0.6143,0.7179000000000001,0.7108,0.6748000000000001,0.6591800000000001,0.05467143312553642
237,Monomer114682963,0.4865,0.5824,0.6423000000000001,0.4583,0.6265,0.5592,0.0740800107991353
238,AutosomalDominantDisease114162025,0.6901,0.8228,0.6496999999999999,0.6857,0.6347,0.6966,0.06651123213412903
239,Bunchgrass112103476,0.7787000000000001,0.5806,0.7665000000000001,0.8087000000000001,0.7723,0.74136,0.0816847990754706
240,SymphonicPoem107047373,0.6854,0.6940999999999999,0.7188,0.8187000000000001,0.7368000000000001,0.7307600000000001,0.047569847592776715
